Frequency,Angle_of_attack,Chord_length,Free_stream_velocity,Suction_side_displacement
1000,8.4,0.0508,71.3,0.00529514
2000,6.7,0.1016,71.3,0.00478288
400,12.3,0.1016,55.5,0.0368233
400,17.4,0.0254,71.3,0.016104
400,9.5,0.0254,31.7,0.00461377
5000,4.0,0.2286,39.6,0.00473801
400,15.6,0.1016,39.6,0.0528487
630,4.8,0.0254,39.6,0.000907475
1000,4.8,0.0254,31.7,0.000930789
5000,5.4,0.1524,71.3,0.00401199
315,9.5,0.0254,39.6,0.00449821
3150,0.0,0.1524,31.7,0.00209405
630,7.3,0.2286,39.6,0.0123481
3150,15.6,0.1016,71.3,0.0437259
630,5.4,0.1524,71.3,0.00401199
3150,4.8,0.0254,31.7,0.000930789
3150,17.4,0.0254,55.5,0.0165706
400,12.7,0.0254,39.6,0.0130253
5000,2.0,0.2286,71.3,0.00293031
200,9.5,0.0254,31.7,0.00461377
6300,0.0,0.1016,71.3,0.00121072
1600,5.4,0.1524,55.5,0.00433288
2500,9.9,0.1524,39.6,0.0233328
630,11.2,0.0508,71.3,0.014072
630,15.6,0.1016,39.6,0.0528487
500,4.0,0.2286,39.6,0.00473801
1250,1.5,0.3048,39.6,0.00392107
6300,12.3,0.1016,71.3,0.0337792
2000,2.0,0.2286,55.5,0.00313525
500,2.0,0.2286,31.7,0.00372371
4000,15.6,0.1016,71.3,0.0437259
1000,0.0,0.1016,39.6,0.00146332
500,12.7,0.0254,39.6,0.0130253
4000,2.7,0.1524,39.6,0.00294804
630,7.3,0.2286,55.5,0.0111706
1250,4.8,0.0254,39.6,0.000907475
1250,0.0,0.2286,39.6,0.00253511
500,3.0,0.3048,55.5,0.00452492
1600,5.4,0.1524,39.6,0.00485029
2000,0.0,0.1016,71.3,0.00121072
250,4.0,0.3048,39.6,0.00579636
250,17.4,0.0254,55.5,0.0165706
400,11.2,0.0508,39.6,0.0150478
6300,17.4,0.0254,55.5,0.0165706
2500,8.9,0.1016,71.3,0.0103088
4000,0.0,0.0254,39.6,0.000428464
315,2.0,0.2286,31.7,0.00372371
1000,12.3,0.1016,55.5,0.0368233
1000,7.2,0.1524,39.6,0.00909175
500,17.4,0.0254,31.7,0.0176631
315,0.0,0.3048,39.6,0.00310138
400,5.4,0.1524,55.5,0.00433288
2500,0.0,0.2286,55.5,0.00229336
3150,0.0,0.0254,55.5,0.00041229
800,7.2,0.1524,39.6,0.00909175
1600,8.4,0.0508,55.5,0.00544854
5000,7.3,0.2286,55.5,0.0111706
400,19.7,0.0508,71.3,0.0341183
200,22.2,0.0254,39.6,0.0229028
2500,15.6,0.1016,71.3,0.0437259
1250,0.0,0.2286,71.3,0.00214345
8000,7.2,0.1524,71.3,0.00752039
1000,19.7,0.0508,71.3,0.0341183
3150,8.9,0.1016,39.6,0.0124596
5000,0.0,0.1524,71.3,0.0015988
1000,7.3,0.2286,39.6,0.0123481
500,15.4,0.0508,39.6,0.0282593
630,1.5,0.3048,39.6,0.00392107
2500,8.9,0.1016,39.6,0.0124596
200,0.0,0.3048,31.7,0.00331266
800,12.7,0.0254,71.3,0.0121808
6300,3.0,0.3048,31.7,0.00529514
2000,2.7,0.1524,39.6,0.00294804
6300,12.7,0.0254,39.6,0.0130253
8000,0.0,0.1016,71.3,0.00121072
1600,6.7,0.1016,71.3,0.00478288
1000,8.4,0.0508,55.5,0.00544854
1000,22.2,0.0254,39.6,0.0229028
2000,15.6,0.1016,71.3,0.0437259
1000,8.9,0.1016,39.6,0.0124596
800,4.0,0.3048,39.6,0.00579636
10000,0.0,0.0254,55.5,0.00041229
5000,0.0,0.1016,71.3,0.00121072
200,15.4,0.0508,71.3,0.0264269
1000,6.7,0.1016,31.7,0.00592927
500,8.4,0.0508,39.6,0.00566229
800,5.3,0.2286,71.3,0.0051942
2000,8.9,0.1016,39.6,0.0124596
800,17.4,0.0254,31.7,0.0176631
315,4.0,0.2286,31.7,0.00509068
1250,12.3,0.1016,71.3,0.0337792
1250,4.2,0.0508,39.6,0.00152689
200,9.9,0.1524,39.6,0.0233328
4000,0.0,0.0254,71.3,0.000400682
250,8.9,0.1016,39.6,0.0124596
630,5.4,0.1524,39.6,0.00485029
630,12.7,0.0254,71.3,0.0121808
400,2.0,0.2286,71.3,0.00293031
500,8.4,0.0508,55.5,0.00544854
250,9.5,0.0254,31.7,0.00461377
1600,9.5,0.0254,55.5,0.0043284
5000,9.5,0.0254,71.3,0.00420654
1000,7.3,0.2286,55.5,0.0111706
5000,12.3,0.1016,71.3,0.0337792
315,17.4,0.0254,71.3,0.016104
4000,4.0,0.2286,71.3,0.00400603
200,15.4,0.0508,55.5,0.0271925
1250,7.3,0.2286,71.3,0.0104404
4000,5.3,0.2286,71.3,0.0051942
800,0.0,0.3048,31.7,0.00331266
4000,3.3,0.1016,55.5,0.002211
315,9.5,0.0254,31.7,0.00461377
10000,4.0,0.2286,71.3,0.00400603
1250,15.4,0.0508,31.7,0.0289853
6300,3.0,0.3048,71.3,0.00425727
800,9.5,0.0254,39.6,0.00449821
315,12.6,0.1524,39.6,0.0584113
800,3.0,0.3048,71.3,0.00425727
4000,7.3,0.2286,31.7,0.0132672
1250,3.3,0.1016,71.3,0.00202822
250,8.9,0.1016,71.3,0.0103088
2500,2.0,0.2286,55.5,0.00313525
630,9.9,0.1524,31.7,0.0252785
4000,2.0,0.2286,31.7,0.00372371
2000,5.4,0.1524,39.6,0.00485029
250,19.7,0.0508,39.6,0.036484
315,12.3,0.1016,55.5,0.0368233
5000,12.3,0.1016,55.5,0.0368233
400,5.3,0.2286,39.6,0.00614329
400,2.0,0.2286,31.7,0.00372371
200,12.3,0.1016,39.6,0.0408268
12500,0.0,0.0254,31.7,0.000439472
10000,3.0,0.3048,55.5,0.00452492
5000,4.0,0.2286,55.5,0.0042862
1600,2.0,0.2286,31.7,0.00372371
4000,5.4,0.1524,71.3,0.00401199
4000,3.3,0.1016,71.3,0.00202822
400,17.4,0.0254,31.7,0.0176631
2500,4.0,0.2286,31.7,0.00509068
6300,4.0,0.3048,71.3,0.00497773
800,11.2,0.0508,71.3,0.014072
1600,0.0,0.0508,55.5,0.00076193
6300,7.2,0.1524,39.6,0.00909175
2000,0.0,0.2286,55.5,0.00229336
1600,4.8,0.0254,31.7,0.000930789
8000,2.7,0.1524,71.3,0.00243851
6300,3.0,0.3048,39.6,0.00495741
500,9.5,0.0254,39.6,0.00449821
4000,12.3,0.1016,71.3,0.0337792
1600,9.9,0.1524,55.5,0.0208438
2500,17.4,0.0254,39.6,0.0172206
2500,6.7,0.1016,71.3,0.00478288
4000,0.0,0.1016,39.6,0.00146332
630,2.7,0.1524,39.6,0.00294804
16000,0.0,0.2286,71.3,0.00214345
630,15.4,0.0508,39.6,0.0282593
4000,12.3,0.1016,55.5,0.0368233
400,12.6,0.1524,39.6,0.0584113
5000,0.0,0.1524,39.6,0.00193287
4000,12.3,0.1016,39.6,0.0408268
8000,0.0,0.3048,71.3,0.00266337
1000,3.0,0.3048,31.7,0.00529514
1250,6.7,0.1016,31.7,0.00592927
4000,2.0,0.2286,39.6,0.00346574
6300,2.0,0.2286,31.7,0.00372371
1600,15.6,0.1016,39.6,0.0528487
1250,2.0,0.2286,31.7,0.00372371
8000,5.4,0.1524,55.5,0.00433288
1000,7.2,0.1524,71.3,0.00752039
2500,22.2,0.0254,71.3,0.0214178
800,15.4,0.0508,55.5,0.0271925
6300,15.4,0.0508,55.5,0.0271925
500,3.0,0.3048,39.6,0.00495741
315,5.4,0.1524,31.7,0.00525474
400,4.0,0.2286,39.6,0.00473801
2000,4.0,0.2286,55.5,0.0042862
800,8.9,0.1016,71.3,0.0103088
10000,0.0,0.1524,55.5,0.00172668
4000,9.5,0.0254,31.7,0.00461377
2000,3.0,0.3048,39.6,0.00495741
500,12.3,0.1016,39.6,0.0408268
1600,17.4,0.0254,39.6,0.0172206
6300,3.3,0.1016,71.3,0.00202822
4000,7.3,0.2286,39.6,0.0123481
16000,0.0,0.0254,31.7,0.000439472
6300,9.9,0.1524,55.5,0.0208438
2500,0.0,0.1016,71.3,0.00121072
1250,9.9,0.1524,39.6,0.0233328
400,4.0,0.3048,71.3,0.00497773
2500,17.4,0.0254,31.7,0.0176631
1000,3.3,0.1016,71.3,0.00202822
3150,5.4,0.1524,39.6,0.00485029
1250,4.0,0.2286,31.7,0.00509068
1250,0.0,0.0508,71.3,0.000740478
2000,3.3,0.1016,71.3,0.00202822
500,11.2,0.0508,71.3,0.014072
10000,4.8,0.0254,55.5,0.000873218
2000,7.2,0.1524,39.6,0.00909175
630,6.7,0.1016,31.7,0.00592927
6300,0.0,0.2286,71.3,0.00214345
1250,0.0,0.1016,71.3,0.00121072
1250,2.7,0.1524,71.3,0.00243851
200,7.3,0.2286,31.7,0.0132672
1250,17.4,0.0254,71.3,0.016104
1250,11.2,0.0508,71.3,0.014072
12500,1.5,0.3048,39.6,0.00392107
10000,0.0,0.0254,71.3,0.000400682
1600,22.2,0.0254,71.3,0.0214178
250,4.0,0.3048,71.3,0.00497773
4000,7.3,0.2286,55.5,0.0111706
500,7.3,0.2286,55.5,0.0111706
5000,9.9,0.1524,71.3,0.0193001
4000,0.0,0.1524,55.5,0.00172668
1250,9.5,0.0254,55.5,0.0043284
630,9.9,0.1524,55.5,0.0208438
800,19.7,0.0508,71.3,0.0341183
1600,7.3,0.2286,31.7,0.0132672
630,4.0,0.3048,39.6,0.00579636
