dataset,model,test_r2,test_mse,test_mae,train_r2,fit_time,n_features,n_train_samples,kl_divergence,r_beta_optimal,r_H_optimal
bike_sharing_day,ModelOrientedPCA,1.0,1.7398928258598378e-23,3.22344720832446e-12,1.0,0.022404193878173828,14,584,47193420.87326774,1.0,8.0
bike_sharing_day,PLSRegression,0.9999975846656501,9.685206430518896,1.4921039449513214,0.9999982763180519,0.0018701553344726562,14,584,,,
wine_quality_red,ModelOrientedPCA,-47.36338982525449,31.605758630041066,5.563474882720877,-48.614959981809065,0.020814180374145508,11,1279,15674698.888603613,0.0,8.0
wine_quality_red,PLSRegression,0.4034947779006689,0.3898196577896987,0.5036180140466926,0.3479515627023696,0.001695394515991211,11,1279,,,
airfoil_noise,ModelOrientedPCA,-312.2932986656845,15695.54875338551,125.08177395370949,-332.38921582332364,0.010070085525512695,5,1202,1.0976003192506116,0.0,5.0
airfoil_noise,PLSRegression,0.5582979754897281,22.128643318247292,3.6724145641788017,0.503447537119858,0.0011436939239501953,5,1202,,,
abalone,ModelOrientedPCA,-9.236407541893474,110.81126175292646,10.053250967750248,-9.61647864526185,0.022710084915161133,9,3341,140504.36301151995,0.0,8.0
abalone,PLSRegression,0.5481628137889262,4.891232447128581,1.5931067816608366,0.5348243545188456,0.0021169185638427734,9,3341,,,
bike_sharing_hour,ModelOrientedPCA,1.0,5.026439754412153e-24,1.9272756258823224e-12,1.0,0.12328386306762695,15,13903,66780855.62330102,1.0,8.0
bike_sharing_hour,PLSRegression,0.9999999476268557,0.0016584171559219762,0.0272649196352922,0.9999999491519407,0.007420063018798828,15,13903,,,
wine_quality_combined,ModelOrientedPCA,-45.47308931950132,34.322548873135894,5.7951705865810155,-44.000657845662445,0.043906211853027344,12,5197,20804606.206616003,0.0,8.0
wine_quality_combined,PLSRegression,0.2677279753868804,0.5408171206442116,0.5646115256664005,0.3027771157187078,0.0035190582275390625,12,5197,,,
diabetes,ModelOrientedPCA,-4.934962606535396,31444.332511196153,161.7545914632206,-3.8896275199033568,0.01615309715270996,10,353,2080683.7053952108,0.0,8.0
diabetes,PLSRegression,0.4526027629719196,2900.1936284934804,42.79409467959994,0.5279193863361498,0.0012297630310058594,10,353,,,
wine_quality_white,ModelOrientedPCA,-44.016719315889674,34.864239789708456,5.838644247898242,-43.8356105013812,0.030779123306274414,11,3918,17965119.913017076,0.0,8.0
wine_quality_white,PLSRegression,0.2652803196487634,0.5690206550645264,0.5862630879233017,0.28431261803812946,0.002705812454223633,11,3918,,,
energy_efficiency,ModelOrientedPCA,-5.974395621345258,646.2282270212313,23.52808938618385,-6.64612840832223,0.45835280418395996,9,614,inf,0.0,8.0
energy_efficiency,PLSRegression,-1439.2226801568495,133447.05400207939,352.0904641472549,-1426.6872228954999,0.0019059181213378906,9,614,,,
concrete_strength,ModelOrientedPCA,-5.045448159837289,1557.7976598415707,36.146586625743005,-4.5260616034056405,0.016518115997314453,8,824,1.8625917147202502,0.0,8.0
concrete_strength,PLSRegression,0.627541605542902,95.9754843533771,7.745392872421345,0.6104593527939592,0.0011959075927734375,8,824,,,
california_housing,ModelOrientedPCA,-3.3298495037237767,5.67387366411154,2.1869319130695644,-3.2114258546801793,0.03844141960144043,8,16512,0.13619560037731215,0.0,8.0
california_housing,PLSRegression,0.5757877060324512,0.5558915986952437,0.5332001304956565,0.6125511913966952,0.005131959915161133,8,16512,,,
