Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
-0.6936867182846933,0.8765325505094114,0.9808066288999747,-0.378228782287823,0.8769154720711815,-0.1353591160221,-0.6218576342947868,0.0
0.8870160810005957,0.0,1.1160903018516952,-0.2712177121771216,0.23232822540781023,-1.3443830570902406,-0.3011378671606249,0.0
0.0,-0.1519599378345709,1.0260421070432062,-0.9546125461254616,0.37271379139891253,0.7882136279926334,-0.01005557025668214,-0.5714285714285714
-0.13740321620011908,0.5180452426178553,0.6425974465206731,0.3191881918819191,0.18487394957983194,-1.2246777163904246,0.4503836993913728,0.0
-0.6324597974985111,0.1396649974097738,1.0505622727657056,-0.9970479704797043,0.46465645081562035,1.0386740331491717,0.18735115109817335,-0.5714285714285714
-0.5580107206670638,-0.1519599378345709,1.412107888729179,-0.5815498154981548,0.1413741967375185,0.8066298342541435,-0.006880127017730519,0.0
-0.7163192376414532,1.1148333621136248,0.0,0.2933579335793365,0.2936233316856154,0.7311233885819536,-0.865308282614448,0.0
-0.5779630732578916,0.7446036953893975,1.0027902257546293,-0.199630996309963,-0.25308947108255064,0.36187845303867394,-0.33500926170944784,0.64
-0.37564026206075046,0.8240372992574687,0.0,0.6697416974169745,-0.6060306475531388,0.04972375690607718,-0.3011378671606249,1.417142857142857
-1.0307921381774867,0.9048523571058541,0.0,0.245387453874539,-0.6060306475531388,-0.7458563535911609,1.731145805768721,-0.5714285714285714
-0.8360333531864206,-0.1519599378345709,1.4010315380062568,-0.19003690036900395,0.38260009886307467,-0.06445672191528551,0.2799682455676097,0.0
-0.14115544967242402,-0.1519599378345709,1.0,0.11439114391143893,-0.0375679683638161,0.5561694290976072,-0.21931727970362552,0.64
0.44627754615842774,-0.1519599378345709,0.0,0.6512915129151295,-0.6060306475531388,0.05524861878453043,-0.03651759724794967,-0.32
0.5213222156045267,1.1535140735624245,0.0,-0.754612546125461,0.5407810182896687,-0.21454880294659276,-0.23974596454088473,0.0
1.2860631328171532,0.02762907960628562,1.0399932358163524,0.9095940959409599,-0.21749876421156694,-0.7918968692449362,-0.8409632177824824,-0.5714285714285714
-0.00041691483025606426,1.091348644448282,1.014627547137905,-0.8616236162361623,0.41720217498764206,-1.2707182320441999,-0.14236570521301978,0.0
0.49988088147706977,-0.020721809704714215,1.1921873678870383,-1.1568265682656826,0.4725654967869501,-0.23941068139963187,0.23868748346123259,0.0
-0.22078618225134009,-0.1519599378345709,0.0,-0.012915129151291305,-0.6060306475531388,1.3812154696132608,0.11166975390314847,0.0
0.22769505658129854,0.8495941978932828,0.0,-0.2527675276752766,0.18487394957983194,0.3121546961325967,-0.9499867689865041,0.0
0.09011316259678379,1.1845967881194959,0.0,0.012915129151291305,-0.6060306475531388,0.2780847145488036,-0.7848637205609957,-0.48
-0.3651578320428827,0.5253669487135211,0.2073222287985119,-0.1332103321033205,0.05140879881364315,0.9023941068139971,0.07483461233130388,0.64
-0.7234663490172722,0.8440683819720256,0.9495222795298892,1.282287822878229,0.39248640632723675,-0.41252302025782683,-1.2759989415189208,0.0
-0.5046456223942823,-0.1519599378345709,1.0584256362560245,-0.867158671586716,0.37073652990608014,1.1058931860036834,0.25551733262767906,-0.32
-0.7865991661703395,1.0153686755309965,1.2090978270060033,0.20848708487084897,0.18487394957983194,-0.009208103130755072,-1.433712622386875,0.0
-0.2204883859440142,-0.1519599378345709,0.7957216538429018,0.04833948339483404,0.0860108749382106,-0.16657458563535954,0.72569462820852,-0.5714285714285714
-0.6924955330553901,1.4933517527197377,0.0,0.012915129151291305,-0.6060306475531388,0.6685082872928174,-0.4673193966657854,-0.48
0.5892197736748066,-0.1519599378345709,0.0,0.17158671586715893,0.0860108749382106,0.41436464088397823,-0.5128340830907651,0.0
0.07701012507444913,0.6838197202555691,0.0,-0.3081180811808117,0.0860108749382106,-0.5524861878453043,0.5350621857634289,0.0
-0.4947587849910661,1.8373337938179937,0.0,0.245387453874539,-0.6060306475531388,-0.3517495395948442,-0.6599629531622123,0.0
0.19017272185824902,-0.1519599378345709,0.0,0.28228782287822907,-0.6060306475531388,0.0,0.3551204022228097,3.474285714285714
0.6761762954139371,0.5187359696080125,0.0,-1.0129151291512912,0.5902125556104795,-1.0672191528545127,1.558613389785657,-0.5714285714285714
1.1907683144729007,-0.1519599378345709,0.0,1.5738007380073806,-0.6060306475531388,-0.3314917127071826,-1.9523683514157184,-0.48
-0.6047051816557476,0.1937489207390779,1.4672359854570052,-0.7594095940959406,0.033613445378151245,0.3517495395948442,0.15930140248743002,0.64
-0.5540798094103634,0.1603177344154723,1.0312843493700854,-0.5586715867158668,0.20365793376173993,0.8416206261510144,0.0232865837523147,-0.5714285714285714
0.6249553305539013,0.5042307028147126,0.0,1.5738007380073806,-0.6060306475531388,-0.3314917127071826,-1.9523683514157184,-0.48
0.18004764740917226,1.25366948713521,0.0,0.6697416974169745,-0.6060306475531388,-0.023941068139963398,-1.5607303519449591,0.0
1.3396664681357953,-0.1519599378345709,0.0,0.5405904059040594,-0.6060306475531388,1.4456721915285464,-1.7512569462820853,5.531428571428571
-0.8062537224538417,0.9801415990329824,1.0797328147459204,1.8948339483394836,-0.032624814631735055,-0.915285451197054,-1.3003440063508864,0.0
0.8929720071471116,0.5822828527024694,0.0,-1.2527675276752765,1.2328225407810185,-0.2946593001841623,0.267266472611802,1.44
-0.691304347826087,1.2916594715938527,1.361291959076689,0.5774907749077494,0.0860108749382106,-1.1049723756906087,-1.1585075416776927,0.0
0.06688505062537237,1.2357105853911243,0.0,-1.5000000000000004,0.5012357884330202,0.33701657458563583,0.267266472611802,1.44
-0.7270399047051818,0.5525815921257125,0.0,0.245387453874539,-0.6060306475531388,-0.7366482504604057,1.742789097644879,0.0
0.39863013698630145,0.11051631842514248,0.0,1.5738007380073806,-0.6060306475531388,-0.3314917127071826,-1.1479227308811857,5.531428571428571
0.8929720071471116,0.5822828527024694,0.0,-1.1752767527675276,1.0252100840336136,-1.0672191528545127,1.1500396930404864,0.64
-0.11774865991661694,0.5304783284406839,0.6510526760801556,0.11992619926199265,0.03657933761739991,-0.45119705340699856,-0.3085472347181803,0.0
-0.3667063728409768,-0.1519599378345709,1.473239198444238,-1.1343173431734312,0.5467128027681661,0.7762430939226521,-0.031436888065626105,0.0
0.27355568790947,-0.1519599378345709,1.0822693836137651,-0.12361623616236143,0.481463173504696,-0.9023941068139971,0.016406456734585385,0.0
-0.5046456223942823,-0.1519599378345709,1.0584256362560245,-0.6915129151291507,0.37073652990608014,1.022099447513813,0.21645938078856763,0.0
-0.36527695056581294,-0.1519599378345709,1.4774668132239792,-1.1276752767527678,0.3984181908057341,0.7872928176795587,-0.02222810267266496,0.0
-0.3725431804645622,-0.1519599378345709,0.8486513908852626,-0.9605166051660519,0.2550667325753832,0.36648250460405146,1.324583223074887,-0.5714285714285714
-0.23269803454437163,0.9324814367121397,0.0,0.245387453874539,-0.6060306475531388,0.04235727440147354,-0.310664196877481,0.0
-0.36527695056581294,-0.1519599378345709,1.4774668132239792,-1.1276752767527678,0.3984181908057341,0.7872928176795587,-0.02222810267266496,-0.5714285714285714
-0.6490768314472901,-0.1519599378345709,1.3804853301767144,-0.328044280442804,-0.162135442412259,0.8342541436464087,0.01735908970627135,0.0
-0.3651578320428827,0.5253669487135211,0.2073222287985119,-0.1332103321033205,0.05140879881364315,0.9023941068139971,0.07483461233130388,-0.32
