instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
336,1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,18,54
7036,4,0,10,18,0,2,1,1,0.52,0.5,0.42,0.1045,65,453
8052,4,0,12,3,0,3,1,3,0.46,0.4545,1.0,0.2239,0,3
2134,2,0,4,18,0,0,0,2,0.46,0.4545,0.31,0.0,71,101
8486,1,0,12,6,0,0,0,1,0.2,0.2273,0.75,0.1045,0,1
12588,2,1,6,16,0,3,1,1,0.72,0.6515,0.3,0.4925,72,320
400,1,0,1,15,0,2,1,2,0.22,0.2273,0.87,0.1642,3,32
15528,4,1,10,4,0,0,0,1,0.42,0.4242,0.77,0.2836,2,10
10547,1,1,3,13,0,2,1,1,0.6,0.5758,0.78,0.194,77,207
750,1,0,2,15,0,4,1,1,0.22,0.197,0.37,0.3284,4,56
612,1,0,1,17,0,5,1,1,0.24,0.2424,0.75,0.1343,2,147
14352,3,1,8,4,0,0,0,2,0.64,0.5758,0.89,0.194,5,11
6195,3,0,9,16,0,2,1,2,0.6,0.5606,0.83,0.1642,23,241
9567,1,1,2,13,0,3,1,2,0.28,0.2879,0.61,0.1045,15,111
11460,2,1,4,16,0,5,1,1,0.52,0.5,0.29,0.2537,105,335
8305,4,0,12,16,0,6,0,1,0.28,0.2727,0.45,0.2239,30,192
10912,2,1,4,19,0,3,1,1,0.66,0.6212,0.39,0.2239,75,419
10232,1,1,3,9,0,3,1,1,0.3,0.2727,0.61,0.3284,12,252
14174,3,1,8,18,0,6,0,1,0.74,0.6515,0.37,0.1642,225,329
9055,1,1,1,4,0,3,1,1,0.34,0.2879,0.46,0.5224,0,1
3088,2,0,5,13,0,5,1,2,0.52,0.5,0.88,0.3881,69,157
3644,2,0,6,17,0,0,0,1,0.74,0.6667,0.51,0.0,126,264
7624,4,0,11,6,0,6,0,1,0.24,0.2121,0.6,0.3284,2,10
3188,2,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,83,521
5707,3,0,8,5,0,3,1,1,0.54,0.5152,0.83,0.0896,2,25
15820,4,1,10,8,0,5,1,2,0.54,0.5152,0.88,0.1343,20,714
16038,4,1,11,22,0,1,1,1,0.28,0.2727,0.56,0.194,4,111
12499,2,1,6,23,0,6,0,1,0.68,0.6364,0.61,0.1642,69,161
16817,4,1,12,11,0,6,0,2,0.4,0.4091,0.87,0.1045,63,341
13083,3,1,7,7,1,3,0,1,0.68,0.6364,0.65,0.0,10,62
5550,3,0,8,3,0,3,1,1,0.58,0.5455,0.68,0.1343,0,1
8249,4,0,12,8,0,4,1,2,0.34,0.3182,0.66,0.2239,8,449
5283,3,0,8,0,0,6,0,1,0.68,0.6364,0.51,0.1045,15,69
15809,4,1,10,21,0,4,1,2,0.52,0.5,0.88,0.1343,24,247
1796,1,0,3,12,0,0,0,1,0.36,0.3636,0.4,0.1045,120,108
5031,3,0,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112
13895,3,1,8,3,0,2,1,1,0.7,0.6667,0.84,0.0,0,6
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3
9677,1,1,2,3,0,1,1,1,0.12,0.1515,0.54,0.1045,0,1
11934,2,1,5,10,0,4,1,1,0.56,0.5303,0.52,0.2537,43,162
11301,2,1,4,1,0,6,0,1,0.52,0.5,0.77,0.2239,24,64
1563,1,0,3,13,0,4,1,3,0.42,0.4242,0.0,0.2239,1,11
16504,4,1,11,9,0,0,0,2,0.24,0.2273,0.48,0.2239,13,83
4129,3,0,6,22,0,6,0,1,0.68,0.6364,0.47,0.194,61,126
11817,2,1,5,13,0,6,0,1,0.64,0.6212,0.36,0.194,293,366
3214,2,0,5,19,0,3,1,3,0.56,0.5303,0.88,0.1343,43,288
14505,3,1,9,13,0,6,0,2,0.82,0.7727,0.52,0.0896,237,267
14605,3,1,9,17,0,3,1,1,0.76,0.7273,0.66,0.2537,83,780
16583,4,1,11,16,0,3,1,1,0.36,0.3333,0.29,0.2537,9,316
3596,2,0,6,17,0,5,1,1,0.72,0.6364,0.25,0.2836,73,485
7781,4,0,11,19,0,5,1,1,0.42,0.4242,0.67,0.0,38,96
13095,3,1,7,19,1,3,0,1,0.86,0.803,0.47,0.2239,177,255
6441,4,0,9,22,0,5,1,1,0.52,0.5,0.55,0.3284,30,129
2695,2,0,4,4,0,3,1,1,0.56,0.5303,0.94,0.2239,0,6
